yaw,pitch,distance,label
0.0266124926527893,0.0123086568689385,0.1917283535003662,1
0.0266013559232874,0.0183968287466607,0.1931855082511901,1
0.0288314665507977,0.0200842225627866,0.1930127143859863,1
0.0288123498867076,0.0074998208110939,0.1937241554260254,1
0.0252223290081826,0.0133502218355008,0.1948665678501129,1
0.0234718686577214,0.0082602913596749,0.1950121819972992,1
0.0313598114491183,0.0126838295999921,0.1946950554847717,1
0.0291414794265801,0.0082700821466441,0.1944032609462738,1
0.0245800248454024,0.0044569577739648,0.1964213252067566,1
0.0221487223095194,0.0084895795463571,0.1951542496681213,1
0.0283095028246474,0.0171318671543953,0.1943007111549377,1
0.0317587889240386,0.0072853423226015,0.1954134106636047,1
0.0288150559170257,-0.0003308348464671,0.1939210891723632,1
0.0293770018088895,0.0121098794856324,0.193082571029663,1
0.0264685889274945,0.0130358979983573,0.1937807202339172,1
0.0444233233655345,0.024544043974861,0.1893459856510162,1
0.0293674951351948,0.0064092334398375,0.1913772821426391,1
0.0301789337902098,0.0122929916295724,0.1922357082366943,1
0.0319274323163963,0.0129032788754474,0.1904318332672119,1
0.0284522645112781,0.0071863810534806,0.1904180645942688,1
0.0465249038052747,0.015496172913055,0.1934675574302673,1
0.028275149298473,0.004272522980552,0.1922685503959655,1
0.0381513026842209,0.0072920033010332,0.1946440935134887,1
0.0382220703737508,0.0145713072412821,0.192658394575119,1
0.0346686240198968,0.015833231239974,0.1924856305122375,1
0.04039098958253,0.0123037017776535,0.1949599981307983,1
0.0361717143162637,0.0074039773294345,0.1938128471374511,1
0.0374892136675782,0.0143478974225406,0.1949149668216705,1
0.0396144863297942,0.0055314104264301,0.1877432763576507,1
0.0397168477989638,0.0050639308604015,0.1924861073493957,1
0.0411599677981609,0.0160290924451235,0.192963033914566,1
0.0439544952133411,0.018337069081686,0.1916283369064331,1
0.0380453123786881,0.0146393723087257,0.1922582387924194,1
0.0260934908616008,0.005920519329345,0.1921046078205108,1
0.0390556353726315,0.0188192710891009,0.1894541382789611,1
0.0346539864552002,0.0265196688821349,0.188873678445816,1
0.0313409411244471,0.0164802411002842,0.1865217983722686,1
0.0243299692651996,0.0142307441771516,0.1884906589984893,1
0.030912838103532,0.0166062124362736,0.1891063451766967,1
0.0252221402609643,0.0339523191869801,0.1888708472251892,1
0.0295593961460344,0.025031315040467,0.1911723017692566,1
0.0338138849789762,0.024758694719099,0.1914254128932953,1
0.0280188864323719,0.0148779614939167,0.1829501986503601,1
0.0220058702090814,0.0057637221387341,0.18394336104393,1
0.0258411686637824,0.0132970218307415,0.1840378940105438,1
0.0335963514649334,0.019930883820967,0.1833497583866119,1
0.0255095829627866,0.0155426979695575,0.1818329393863678,1
0.024974111282614,0.0076492387237238,0.1805472373962402,1
0.0258746441779248,0.0070806971230864,0.2695032358169555,1
0.0409555453466437,0.1365062575358086,0.2844514846801758,1
0.0436282294610679,0.1103834952853026,0.2847480773925781,1
0.0499666399170975,0.1028828638527269,0.2847352921962738,1
0.0392812713223873,0.0972399620195895,0.2866621911525726,1
0.0271518160636709,0.0955244342769005,0.2831668853759765,1
0.0336559977018233,0.0955685091337932,0.2840973436832428,1
0.0273060015749174,0.1111792562976708,0.2801873087882995,1
0.0333774913154629,0.1093378274929113,0.2769439220428467,1
0.0295396931695621,0.1198233249094026,0.2775680422782898,1
0.0222194572171427,0.1200636281332609,0.2808491587638855,1
0.0212456022996186,0.1214300284081704,0.2792744040489197,1
0.0205097600898737,0.1251586123535502,0.2826608419418335,1
0.023745879929922,0.124396437747085,0.2815116345882416,1
0.0241725795173565,0.1307736581400901,0.283526062965393,1
0.0264904111892053,0.1323999515089856,0.2805071771144867,1
0.0233294479658953,0.1298958085974119,0.2832382619380951,1
0.0206651847796805,0.1328407090409326,0.2844792008399963,1
0.0256682804989862,0.1324801586197043,0.2833739817142486,1
0.0267006552930371,0.1289310731986119,0.2810341417789459,1
0.02500839908178,0.1331117813442776,0.284522145986557,1
0.0062708780300985,0.0924235041954119,0.2874465882778168,1
0.0041150064816952,0.0870411995812556,0.2853621244430542,1
0.0156231941329105,0.0813113673589212,0.2858510911464691,1
0.0234408654903253,0.0854246075640298,0.2849820852279663,1
0.0196049831961089,0.0799250790613429,0.2857595086097717,1
0.0217924836244029,0.0865201130649205,0.2854902148246765,1
0.0242504322956053,0.0925405250551999,0.284241110086441,1
0.0211229409162942,0.092263170579094,0.2883936762809753,1
0.015912987694262,0.0985083854712025,0.2861899137496948,1
0.0094660556033105,0.0949214453796524,0.2853326797485351,1
0.0111447084547294,0.0918928928907518,0.2851781845092773,1
0.0122656423626881,0.0973427230653087,0.283878892660141,1
1.3215983196605667,0.0374669074409615,0.1403810381889343,0
1.0930824862310975,0.047044136540526,0.1653153300285339,0
1.0410483997310016,0.0656311153988076,0.1677511930465698,0
1.0727234698942731,0.0735396753058661,0.1658146381378173,0
1.272692507370594,0.1038398240744067,0.1522578001022339,0
1.261103725128907,0.0759793945573207,0.1506127715110778,0
1.2663955872403716,0.0832136108829717,0.147373080253601,0
1.4465616285605472,-0.0025448248294264,0.1415556073188781,0
1.2220078698164651,-0.017594703394179,0.1603842377662658,0
0.4893892666435628,-0.0894504342137808,0.2344261705875396,0
0.4499853848161741,-0.138615813145921,0.2355179786682129,0
0.1250784065778134,-0.1381752025569446,0.2699860334396362,0
-0.0115372200009088,-0.1202008842274103,0.2720481753349304,0
-0.0736086452257002,-0.1084464976731591,0.2735485434532165,0
-0.2225946528023513,-0.0689122682485664,0.2719632387161255,0
-0.2725814860785021,-0.0557671172579688,0.270734041929245,0
-0.4852360527222978,0.0492751361316463,0.253256618976593,0
-0.5188403670277911,0.1239563884122071,0.2574016153812408,0
