yaw,pitch,distance,label,distance_tier,glasses,headwear,subject,collector,session,captured_at
-0.3998967404818439,0.18227902799365728,0.12708279490470886,0,mid 0.5-1.5m,unknown,unknown,unknown,Hector,live_20260727-230151,2026-07-27T21:18:32.218463+00:00
-0.704726635725598,0.05982031426357169,0.13988690078258514,0,mid 0.5-1.5m,unknown,unknown,unknown,Hector,live_20260727-230151,2026-07-27T21:18:32.381928+00:00
-0.46875672228594345,0.08341316425569699,0.14459356665611267,1,mid 0.5-1.5m,unknown,unknown,unknown,Hector,live_20260727-230151,2026-07-27T21:18:34.278813+00:00
